Title,CRN,Department,Level,202110,202120,Recent Term,URL
AAAS 200,16021,AAAS,200,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16021
AFSC 101,11785,AFSC,101,2,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=11785
AFSC 201,10502,AFSC,201,2,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10502
AFSC 301,10503,AFSC,301,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10503
AFSC 401,10504,AFSC,401,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10504
ANTH 200,23779,ANTH,200,2,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=23779
ANTH 201,16303,ANTH,201,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16303
ANTH 203,14981,ANTH,203,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14981
ANTH 205,11253,ANTH,205,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=11253
ANTH 300,12793,ANTH,300,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12793
ANTH 324,10714,ANTH,324,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10714
ANTH 340,14600,ANTH,340,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14600
ANTH 344,14602,ANTH,344,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14602
ANTH 354,16304,ANTH,354,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16304
ANTH 366,15730,ANTH,366,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=15730
ANTH 380,22976,ANTH,380,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=22976
ANTH 381,23640,ANTH,381,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=23640
ANTH 394,14991,ANTH,394,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14991
ANTH 399,16159,ANTH,399,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16159
ANTH 404,23651,ANTH,404,10,7,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=23651
ANTH 409,15370,ANTH,409,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=15370
ANTH 490,14610,ANTH,490,10,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14610
ANTH 493,13007,ANTH,493,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=13007
ARAB 141,12437,ARAB,141,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12437
ARAB 263,12630,ARAB,263,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12630
ARAB 301,13545,ARAB,301,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=13545
ARCH 101,10631,ARCH,101,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10631
ARCH 105,11105,ARCH,105,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=11105
ARCH 201,12469,ARCH,201,2,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12469
ARCH 207,12366,ARCH,207,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12366
ARCH 225,12255,ARCH,225,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12255
ARCH 301,12470,ARCH,301,2,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12470
ARCH 311,16359,ARCH,311,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16359
ARCH 313,10071,ARCH,313,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10071
ARCH 314,14402,ARCH,314,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14402
ARCH 327,16075,ARCH,327,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16075
ARCH 346,10635,ARCH,346,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10635
ARCH 350,21806,ARCH,350,3,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=21806
ARCH 353,15675,ARCH,353,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=15675
ARCH 401,12471,ARCH,401,2,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12471
ARCH 403,16076,ARCH,403,2,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16076
ARCH 423,20026,ARCH,423,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=20026
ARCH 450,14420,ARCH,450,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14420
ARCH 461,20027,ARCH,461,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=20027
ARCH 491,16227,ARCH,491,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=16227
ARTS 165,20621,ARTS,165,3,3,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=20621
ARTS 225,24144,ARTS,225,2,2,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=24144
ARTS 230,21896,ARTS,230,2,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=21896
ARTS 280,10860,ARTS,280,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10860
ARTS 301,21869,ARTS,301,3,2,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=21869
ARTS 311,12861,ARTS,311,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12861
ARTS 325,12862,ARTS,325,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=12862
ARTS 327,10618,ARTS,327,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10618
ARTS 388,10326,ARTS,388,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=10326
ARTS 400,22337,ARTS,400,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=22337
ARTS 432,22889,ARTS,432,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=22889
ARTS 494,24568,ARTS,494,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=24568
ARTS 499,20355,ARTS,499,1,1,202120,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202120&p_crn=20355
ASIA 305,14988,ASIA,305,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14988
ASIA 315,15937,ASIA,315,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=15937
ASIA 322,13661,ASIA,322,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=13661
ASIA 323,14619,ASIA,323,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=14619
ASIA 334,15002,ASIA,334,1,0,202110,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202110&p_crn=15002
